content,score,at,thumbsUpCount,source,app_name,text,clean_text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_label,cluster_id,topic_category
"My opinion of the app has been dropping a lot lately. Removing the sentence discussions has been a huge loss. I made heavy use of those to understand mistakes or sentences I didn't quite get. Now, many mistakes leave you confused and with no explanation or way to figure out what you did wrong. Overall, Duolingo is not a bad app for supplementing language learning. However, it falters as a primary source and it seems to be getting worse and not better. Additionally, Latin support is a joke.",2,2026-03-08 10:52:08,2005,play_store,Duolingo,"My opinion of the app has been dropping a lot lately. Removing the sentence discussions has been a huge loss. I made heavy use of those to understand mistakes or sentences I didn't quite get. Now, many mistakes leave you confused and with no explanation or way to figure out what you did wrong. Overall, Duolingo is not a bad app for supplementing language learning. However, it falters as a primary source and it seems to be getting worse and not better. Additionally, Latin support is a joke.",my opinion of the app has been dropping a lot lately removing the sentence discussions has been a huge loss i made heavy use of those to understand mistakes or sentences i didn't quite get now many mistakes leave you confused and with no explanation or way to figure out what you did wrong overall duolingo is not a bad app for supplementing language learning however it falters as a primary source and it seems to be getting worse and not better additionally latin support is a joke,-0.8425,0.117,0.202,negative,0,Other
"The new energy system is terrible. Before, you were only penalized if you answered incorrectly. Now, both correct and incorrect answers deduct from your energy (which is capped at 25) and the only way to earn more is to purchase it or watch an ad for 5 energy. Energy also always conveniently runs out mid lessons. And lately, when I watch ads to earn more energy, the entire ad plays and I don't ever get awarded my energy.",1,2026-03-07 06:56:49,20,play_store,Duolingo,"The new energy system is terrible. Before, you were only penalized if you answered incorrectly. Now, both correct and incorrect answers deduct from your energy (which is capped at 25) and the only way to earn more is to purchase it or watch an ad for 5 energy. Energy also always conveniently runs out mid lessons. And lately, when I watch ads to earn more energy, the entire ad plays and I don't ever get awarded my energy.",the new energy system is terrible before you were only penalized if you answered incorrectly now both correct and incorrect answers deduct from your energy which is capped at 25 and the only way to earn more is to purchase it or watch an ad for 5 energy energy also always conveniently runs out mid lessons and lately when i watch ads to earn more energy the entire ad plays and i don't ever get awarded my energy,0.7604,0.167,0.06,positive,5,Other
"While it started good, this app has quickly spiraled into something I dread doing. For starters, every single time challenge is far too short and should be at least 2 to 5 minutes longer. Especially in the beginning stages. Second, I have trouble spelling, I always have and always will. But lately 100% of the tests require spelling so I'm spending 10 minutes just trying to spell one word, and I'm sorry, but when you fail repeatedly, it doesn't make you want to continue. I dislike this app.",1,2026-02-16 09:54:29,254,play_store,Duolingo,"While it started good, this app has quickly spiraled into something I dread doing. For starters, every single time challenge is far too short and should be at least 2 to 5 minutes longer. Especially in the beginning stages. Second, I have trouble spelling, I always have and always will. But lately 100% of the tests require spelling so I'm spending 10 minutes just trying to spell one word, and I'm sorry, but when you fail repeatedly, it doesn't make you want to continue. I dislike this app.",while it started good this app has quickly spiraled into something i dread doing for starters every single time challenge is far too short and should be at least 2 to 5 minutes longer especially in the beginning stages second i have trouble spelling i always have and always will but lately 100 of the tests require spelling so i'm spending 10 minutes just trying to spell one word and i'm sorry but when you fail repeatedly it doesn't make you want to continue i dislike this app,-0.893,0.032,0.151,negative,4,Other
"For a while there have been bugs in the app that the 'daily refresh' of the music lessons would not be matched up with the songs actual names. Another bug is that sometimes you would get a reward but it wouldn't actually show up and you didn't actually get it. Another thing that bothers me is the Duolingo ad that has someone sitting in the restroom, and a few other ads. They don't seem appropriate, as children use this app too. Otherwise besides these things the app teaches lessons pretty well.",3,2025-10-16 09:35:50,1453,play_store,Duolingo,"For a while there have been bugs in the app that the 'daily refresh' of the music lessons would not be matched up with the songs actual names. Another bug is that sometimes you would get a reward but it wouldn't actually show up and you didn't actually get it. Another thing that bothers me is the Duolingo ad that has someone sitting in the restroom, and a few other ads. They don't seem appropriate, as children use this app too. Otherwise besides these things the app teaches lessons pretty well.",for a while there have been bugs in the app that the 'daily refresh' of the music lessons would not be matched up with the songs actual names another bug is that sometimes you would get a reward but it wouldn't actually show up and you didn't actually get it another thing that bothers me is the duolingo ad that has someone sitting in the restroom and a few other ads they don't seem appropriate as children use this app too otherwise besides these things the app teaches lessons pretty well,0.7964,0.094,0.022,positive,1,Pricing & value
"Gets worse and worse, saying this is free is false advertising. I have been with the app for 5+ years, and now the ""charges"" instead of hearts are terrible. Doesn't matter if you make no mistakes you still have to watch ads or you will run out of ""charges"". You used to be able to just practice for hearts. Then it was ads, for hearts. Now it's these ""charges"" that run out after 1 lesson if you don't watch adds. Will be looking into other free language apps now. Been going downhill for awhile.",1,2025-10-26 13:05:55,3138,play_store,Duolingo,"Gets worse and worse, saying this is free is false advertising. I have been with the app for 5+ years, and now the ""charges"" instead of hearts are terrible. Doesn't matter if you make no mistakes you still have to watch ads or you will run out of ""charges"". You used to be able to just practice for hearts. Then it was ads, for hearts. Now it's these ""charges"" that run out after 1 lesson if you don't watch adds. Will be looking into other free language apps now. Been going downhill for awhile.",gets worse and worse saying this is free is false advertising i have been with the app for 5 years and now the charges instead of hearts are terrible doesn't matter if you make no mistakes you still have to watch ads or you will run out of charges you used to be able to just practice for hearts then it was ads for hearts now it's these charges that run out after 1 lesson if you don't watch adds will be looking into other free language apps now been going downhill for awhile,0.8375,0.181,0.14,positive,1,Pricing & value
"I like the app overall, but the new energy system is weak. you run out of energy even while being correct. I can't study as much as I could with the heart system. and now the whiteout survival ad doesn't have any way to close it at all, you have to quit the app and reopen it. destroying the app like crazy this month. dropping my rating to 2 stars. now another ad can't close no matter what. I guess I can't rate any lower than 1 star. my next step is uninstall and try airlearn.",1,2025-11-05 08:11:42,2766,play_store,Duolingo,"I like the app overall, but the new energy system is weak. you run out of energy even while being correct. I can't study as much as I could with the heart system. and now the whiteout survival ad doesn't have any way to close it at all, you have to quit the app and reopen it. destroying the app like crazy this month. dropping my rating to 2 stars. now another ad can't close no matter what. I guess I can't rate any lower than 1 star. my next step is uninstall and try airlearn.",i like the app overall but the new energy system is weak you run out of energy even while being correct i can't study as much as i could with the heart system and now the whiteout survival ad doesn't have any way to close it at all you have to quit the app and reopen it destroying the app like crazy this month dropping my rating to 2 stars now another ad can't close no matter what i guess i can't rate any lower than 1 star my next step is uninstall and try airlearn,0.6873,0.166,0.101,positive,5,Other
"The new energy system makes the free membership pretty much impossible to use. Even if you're perfect, you can only get about 3 lessons done. I went from being able to do 6-8 lessons to barely 3. This ruins the app's purpose to teach languages unless you can afford the paid version, which completely goes against the app's original purpose. It's clear that the company has shifted their focus from teaching language to doing whatever they have to to make money, even when it ruins their app.",1,2025-10-27 00:57:03,2508,play_store,Duolingo,"The new energy system makes the free membership pretty much impossible to use. Even if you're perfect, you can only get about 3 lessons done. I went from being able to do 6-8 lessons to barely 3. This ruins the app's purpose to teach languages unless you can afford the paid version, which completely goes against the app's original purpose. It's clear that the company has shifted their focus from teaching language to doing whatever they have to to make money, even when it ruins their app.",the new energy system makes the free membership pretty much impossible to use even if you're perfect you can only get about 3 lessons done i went from being able to do 6-8 lessons to barely 3 this ruins the app's purpose to teach languages unless you can afford the paid version which completely goes against the app's original purpose it's clear that the company has shifted their focus from teaching language to doing whatever they have to to make money even when it ruins their app,0.8822,0.168,0.058,positive,5,Other
"first off I'm on a 392 day streak so I've used it for a bit. two huge, major, gigantic problems. 1) in Japanese when you have to type out a word sometimes completely randomly it will tell you you're wrong. 2) requiring you to spend $30 so it can explain your mistakes is an absolute joke. how are you supposed to learn a language when it refuses to tell you why you mess up. it's not a good app and I will be looking for a replacement ASAP. 1/5 I hate this all with a burning passion",1,2025-12-19 06:49:02,4727,play_store,Duolingo,"first off I'm on a 392 day streak so I've used it for a bit. two huge, major, gigantic problems. 1) in Japanese when you have to type out a word sometimes completely randomly it will tell you you're wrong. 2) requiring you to spend $30 so it can explain your mistakes is an absolute joke. how are you supposed to learn a language when it refuses to tell you why you mess up. it's not a good app and I will be looking for a replacement ASAP. 1/5 I hate this all with a burning passion",first off i'm on a 392 day streak so i've used it for a bit two huge major gigantic problems 1 in japanese when you have to type out a word sometimes completely randomly it will tell you you're wrong 2 requiring you to spend 30 so it can explain your mistakes is an absolute joke how are you supposed to learn a language when it refuses to tell you why you mess up it's not a good app and i will be looking for a replacement asap 1 5 i hate this all with a burning passion,-0.8653,0.066,0.151,negative,0,Other
"I don't really feel like using the app anymore with the new ""energy"" update. Before, you could continue to play for free so long as you didn't make mistakes. Now, answering any question at all drains your energy bar, and the energy is completely drained after only a lesson or two. I cannot even begin to explain how much this destroys the quality of using Duolingo",1,2025-10-30 18:53:38,1484,play_store,Duolingo,"I don't really feel like using the app anymore with the new ""energy"" update. Before, you could continue to play for free so long as you didn't make mistakes. Now, answering any question at all drains your energy bar, and the energy is completely drained after only a lesson or two. I cannot even begin to explain how much this destroys the quality of using Duolingo",i don't really feel like using the app anymore with the new energy update before you could continue to play for free so long as you didn't make mistakes now answering any question at all drains your energy bar and the energy is completely drained after only a lesson or two i cannot even begin to explain how much this destroys the quality of using duolingo,0.412,0.175,0.116,positive,5,Other
"The app has become extremely buggy. I constantly have to close and reopen it to update my progress after finishing a lesson. Sometimes, it will erase two or three full levels of progress. Last night, I needed to pass a test to be permitted to return to where I belonged. It will also say I have 3x XP for 30 minutes, which somehow turns out to be 1.5 XP for 10 minutes. I've submitted multiple bug reports without any reply or, worse, any signs of a fix.",1,2024-11-07 17:17:50,723,play_store,Duolingo,"The app has become extremely buggy. I constantly have to close and reopen it to update my progress after finishing a lesson. Sometimes, it will erase two or three full levels of progress. Last night, I needed to pass a test to be permitted to return to where I belonged. It will also say I have 3x XP for 30 minutes, which somehow turns out to be 1.5 XP for 10 minutes. I've submitted multiple bug reports without any reply or, worse, any signs of a fix.",the app has become extremely buggy i constantly have to close and reopen it to update my progress after finishing a lesson sometimes it will erase two or three full levels of progress last night i needed to pass a test to be permitted to return to where i belonged it will also say i have 3x xp for 30 minutes which somehow turns out to be 1 5 xp for 10 minutes i've submitted multiple bug reports without any reply or worse any signs of a fix,0.7717,0.111,0.032,positive,2,Other
